-871.107971	-756.21698	-146.778	0.000976	0	1.001007
-870.655029	-755.97699	-146.813995	0.001037	0	1
-870.442017	-756.401978	-146.973999	0.001038	0	1
-870.89502	-756.642029	-146.938004	0.001038	0	1.001008
-883.828979	-754.892029	-143.632996	0.013977	-0.018982	1.057999
-883.375	-754.651001	-143.669006	0.013	-0.018005	1.054001
-883.161987	-755.075989	-143.828995	0.013	-0.018005	1.054001
-883.616028	-755.317017	-143.792999	0.014038	-0.018982	1.057998
-878.921997	-755.518005	-144.876999	0.007996	-0.01001	1.028992
-879.375977	-755.758972	-144.841003	0.007996	-0.011048	1.031997
-879.588989	-755.333984	-144.681	0.007995	-0.010987	1.033005
-879.13501	-755.093018	-144.716995	0.007996	-0.010009	1.029999
-892.309998	-754.007996	-141.535995	0.026001	-0.036987	1.113998
-892.521973	-753.583008	-141.376007	0.024964	-0.036987	1.113007
-892.06897	-753.34198	-141.412003	0.023987	-0.036011	1.109009
-891.856018	-753.767029	-141.572006	0.025024	-0.03595	1.109009
-930.521973	-739.208984	-118.797997	0.271973	-0.195008	1.712998
-930.234985	-739.909973	-119.472	0.263	-0.197022	1.711998
-931.026001	-740.463989	-119.232002	0.273987	-0.203003	1.734001
-931.312012	-739.762024	-118.557999	0.28302	-0.200989	1.736
-920.382996	-726.695007	-118.353996	0.174988	-0.106995	1.421997
-920.669983	-725.992981	-117.68	0.182983	-0.105041	1.422996
-919.879028	-725.440002	-117.919998	0.174011	-0.101014	1.404999
-919.59198	-726.140991	-118.594002	0.166992	-0.103028	1.404
-911.973022	-719.903015	-120.318001	0.093017	-0.059998	1.236 
-911.684998	-720.60498	-120.991997	0.085999	-0.062012	1.234993
-912.476013	-721.15802	-120.751999	0.093994	-0.065979	1.251999
-912.763	-720.45697	-120.078003	0.101013	-0.064026	1.252007
-921.460999	-726.546997	-117.440002	0.192017	-0.109009	1.441001
-921.174011	-727.249023	-118.113998	0.184021	-0.112	1.439994
-921.963989	-727.802002	-117.874001	0.192993	-0.116028	1.458001
-922.250977	-727.101013	-117.200996	0.199952	-0.114014	1.458999
-913.554016	-721.010986	-119.838997	0.108032	-0.067993	1.268997
-913.267029	-721.711975	-120.512001	0.102051	-0.070007	1.267998
-914.057983	-722.265991	-120.272003	0.109985	-0.074036	1.285003
-914.344971	-721.564026	-119.598999	0.115967	-0.07196	1.284996
-930.094971	-745.22699	-123.033997	0.232971	-0.220031	1.744996
-929.807983	-745.927979	-123.707001	0.223999	-0.221008	1.743004
-930.598022	-746.481995	-123.468002	0.235046	-0.228027	1.765999
-930.88501	-745.780029	-122.793999	0.244995	-0.225952	1.767998
-927.645996	-736.29303	-119.084	0.237976	-0.169983	1.628998
-927.932983	-735.591003	-118.410004	0.245971	-0.167969	1.630005
-927.142029	-735.036987	-118.650002	0.236023	-0.163025	1.609002
-926.85498	-735.739014	-119.323997	0.227966	-0.164001	1.607994
